{'./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log': './lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log'}
Reading File:  ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log
Number of lines in log file:  3755
Number of lines in uart file:  30822
Test contains the following single or groups of events:
1 memory, 0 timeout, 0 other

Mem event group 0, File: ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log
[2022-12-19 05:19:34] ERRORS (128-bit words): 128
[2022-12-19 05:19:34] error addr: 0x51256000, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256004, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256008, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x5125600c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256010, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256014, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256018, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x5125601c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256020, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256024, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256028, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x5125602c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256030, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:34] error addr: 0x51256034, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256038, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125603c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256040, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256044, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256048, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125604c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256050, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256054, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256058, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125605c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256060, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256064, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256068, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125606c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256070, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256074, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256078, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125607c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256080, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256084, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256088, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125608c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256090, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256094, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256098, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125609c, content: 0x00000000, expected: 0xa5a5a5a5
